shipment_id,order_id,carrier,ship_mode,origin_country,destination_country,dispatch_date,estimated_arrival,actual_arrival,freight_cost,weight_kg,delivery_status,delay_days
SHIP00001,ORD01058,Nippon Express,Air,India,Canada,2023-08-18,2023-08-23,,1428.92,196.52,In Transit,
SHIP00002,ORD02120,DHL,Sea,India,Japan,2022-04-28,2022-06-04,2022-06-16,1720.31,1981.98,Delayed,12.0
SHIP00003,ORD00016,DHL,Sea,Vietnam,Canada,2022-08-30,2022-09-26,2022-10-17,211.53,72.14,Delayed,21.0
SHIP00004,ORD03156,DHL,Sea,Malaysia,Canada,2024-06-03,2024-07-09,,502.63,405.44,In Transit,
SHIP00005,ORD01166,FedEx,Sea,India,Bangladesh,2022-04-22,2022-06-06,2022-06-17,2860.07,3553.47,Delayed,11.0
SHIP00006,ORD04730,DB Schenker,Sea,India,Australia,2022-10-22,2022-12-04,,3234.61,3806.79,In Transit,
SHIP00007,ORD02750,Blue Dart,Air,Malaysia,Indonesia,2024-11-17,2024-11-23,,3343.57,468.5,In Transit,
SHIP00008,ORD02498,Blue Dart,Air,China,India,2022-06-11,2022-06-16,2022-06-16,336.33,41.6,Delivered,0.0
SHIP00009,ORD03354,Maersk,Air,China,USA,2023-08-14,2023-08-20,2023-08-20,7261.51,1122.37,Delivered,0.0
SHIP00010,ORD02265,Nippon Express,Sea,India,UAE,2022-06-10,2022-07-18,,2429.74,2795.83,In Transit,
SHIP00011,ORD03452,DB Schenker,Air,China,Singapore,2024-05-13,2024-05-16,,541.22,70.55,Lost,
SHIP00012,ORD03056,FedEx,Air,India,South Korea,2022-03-26,2022-03-29,,83.52,3.79,In Transit,
SHIP00013,ORD00721,Nippon Express,Sea,China,Saudi Arabia,2024-07-11,2024-08-15,2024-08-15,217.43,90.77,Delivered,0.0
SHIP00014,ORD02590,DB Schenker,Sea,India,France,2022-03-08,2022-04-17,2022-04-17,2232.86,2775.89,Delivered,0.0
SHIP00015,ORD01996,Maersk,Sea,Malaysia,Mexico,2022-02-05,2022-02-21,2022-03-12,1549.76,1673.62,Delayed,19.0
SHIP00016,ORD01593,Maersk,Sea,Malaysia,Bangladesh,2024-10-06,2024-10-21,2024-10-21,10270.2,13716.86,Delivered,0.0
SHIP00017,ORD02728,DHL,Sea,China,Australia,2023-07-21,2023-08-24,2023-08-24,478.14,425.19,Delivered,0.0
SHIP00018,ORD04892,DHL,Sea,Malaysia,UK,2023-01-17,2023-02-13,2023-03-10,2868.92,3185.99,Delayed,25.0
SHIP00019,ORD04193,Maersk,Air,China,Thailand,2022-12-07,2022-12-13,2022-12-21,64244.69,9168.32,Delayed,8.0
SHIP00020,ORD00686,DHL,Sea,Malaysia,USA,2024-03-09,2024-04-18,2024-04-18,438.4,329.65,Delivered,0.0
SHIP00021,ORD04553,DHL,Sea,China,Japan,2023-06-13,2023-07-05,2023-07-05,164.06,17.2,Delivered,0.0
SHIP00022,ORD02776,Maersk,Air,India,Japan,2024-02-25,2024-03-01,2024-03-10,2086.05,328.87,Delivered,9.0
SHIP00023,ORD00544,Nippon Express,Sea,Vietnam,Thailand,2024-08-03,2024-09-17,2024-10-13,1305.29,1397.92,Delayed,26.0
SHIP00024,ORD04183,Blue Dart,Sea,China,Mexico,2023-12-14,2024-01-12,2024-01-12,1083.01,1243.6,Delivered,0.0
SHIP00025,ORD02786,Maersk,Sea,China,France,2023-04-25,2023-05-19,2023-06-12,13141.56,17128.12,Delayed,24.0
SHIP00026,ORD02042,DHL,Sea,Malaysia,Italy,2022-07-11,2022-08-14,2022-08-14,184.74,39.99,Delivered,0.0
SHIP00027,ORD01690,Nippon Express,Sea,Malaysia,France,2022-02-20,2022-03-08,2022-03-30,1274.93,1559.03,Delayed,22.0
SHIP00028,ORD01350,DHL,Sea,China,USA,2023-09-09,2023-09-25,2023-09-25,468.03,393.65,Delivered,0.0
SHIP00029,ORD02226,FedEx,Air,Vietnam,Indonesia,2022-10-04,2022-10-08,2022-10-16,246.43,31.46,Delivered,8.0
SHIP00030,ORD04974,DHL,Air,Vietnam,Japan,2024-07-20,2024-07-24,2024-07-24,688.26,102.33,Delivered,0.0
SHIP00031,ORD01568,DB Schenker,Air,India,Italy,2022-06-18,2022-06-25,2022-07-09,341.81,44.66,Delivered,14.0
SHIP00032,ORD00186,DB Schenker,Air,China,Germany,2023-11-07,2023-11-10,2023-11-13,7152.47,1183.83,Delivered,3.0
SHIP00033,ORD00576,Blue Dart,Sea,China,Japan,2024-07-05,2024-07-29,2024-07-29,547.83,548.33,Delivered,0.0
SHIP00034,ORD04429,Blue Dart,Sea,Vietnam,France,2023-08-17,2023-09-16,,268.91,153.06,In Transit,
SHIP00035,ORD02943,Blue Dart,Road,Vietnam,India,2024-12-23,2024-12-31,2025-01-18,1514.63,668.7,Delayed,18.0
SHIP00036,ORD04329,Blue Dart,Sea,Vietnam,Bangladesh,2022-07-28,2022-09-06,2022-09-06,399.17,293.46,Delivered,0.0
SHIP00037,ORD04252,Blue Dart,Sea,China,Mexico,2022-04-11,2022-05-16,2022-05-16,1046.66,1158.36,Delivered,0.0
SHIP00038,ORD02913,DHL,Air,China,UAE,2024-03-12,2024-03-19,2024-03-19,12737.78,2027.07,Delivered,0.0
SHIP00039,ORD01992,DHL,Sea,Malaysia,Germany,2023-04-12,2023-05-07,2023-05-19,178.76,39.85,Delayed,12.0
SHIP00040,ORD03280,FedEx,Sea,China,Canada,2024-05-15,2024-06-11,2024-06-24,501.89,429.81,Delivered,13.0
SHIP00041,ORD02935,Nippon Express,Sea,Vietnam,Japan,2024-06-09,2024-07-12,2024-07-12,974.02,978.07,Delivered,0.0
SHIP00042,ORD04391,Nippon Express,Air,Vietnam,Singapore,2022-01-31,2022-02-05,2022-02-12,24638.07,4198.02,Delayed,7.0
SHIP00043,ORD02768,FedEx,Sea,China,Japan,2024-07-10,2024-08-17,2024-08-17,231.27,112.73,Delivered,0.0
SHIP00044,ORD04909,Maersk,Air,China,Italy,2023-02-03,2023-02-07,2023-02-16,3889.39,548.95,Delivered,9.0
SHIP00045,ORD04237,DHL,Sea,India,Germany,2024-08-12,2024-09-25,2024-10-09,772.5,814.35,Delivered,14.0
SHIP00046,ORD00915,DHL,Air,India,Australia,2022-04-22,2022-04-28,,5636.47,853.49,In Transit,
SHIP00047,ORD02251,DB Schenker,Air,Vietnam,USA,2022-06-03,2022-06-07,2022-06-07,10077.13,1493.61,Delivered,0.0
