po_id,supplier_id,factory_id,product_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,unit_cost,total_cost,status,delay_days
PO00001,SUPP080,FACT08,PROD028,2024-09-24,2024-12-17,2024-12-17,1109,112.76,125050.84,Delivered,0.0
PO00002,SUPP007,FACT11,PROD019,2024-09-19,2024-10-21,2024-10-21,2359,151.11,356468.49,Delivered,0.0
PO00003,SUPP016,FACT10,PROD027,2024-04-29,2024-06-14,2024-06-14,1650,182.14,300531.0,Delivered,0.0
PO00004,SUPP016,FACT06,PROD048,2023-09-19,2023-11-04,,4593,369.89,1698904.77,Pending,
PO00005,SUPP040,FACT01,PROD116,2023-11-10,2023-12-04,2023-12-04,2283,583.49,1332107.67,Delivered,0.0
PO00006,SUPP012,FACT10,PROD019,2024-02-16,2024-03-24,2024-03-24,1702,149.43,254329.86,Delivered,0.0
PO00007,SUPP035,FACT05,PROD097,2023-10-25,2023-11-18,2023-11-18,1347,309.02,416249.94,Delivered,0.0
PO00008,SUPP021,FACT07,PROD051,2022-09-25,2022-10-04,2022-10-04,401,380.12,152428.12,Delivered,0.0
PO00009,SUPP050,FACT06,PROD007,2022-04-26,2022-06-08,2022-06-08,3272,123.62,404484.64,Delivered,0.0
PO00010,SUPP043,FACT12,PROD029,2024-01-24,2024-03-09,2024-03-09,2481,263.88,654686.28,Delivered,0.0
PO00011,SUPP017,FACT09,PROD119,2024-11-29,2024-12-22,2024-12-22,514,123.28,63365.92,Delivered,0.0
PO00012,SUPP032,FACT08,PROD043,2022-07-01,2022-07-22,2022-09-20,2563,111.31,285287.53,Delivered,60.0
PO00013,SUPP041,FACT04,PROD069,2024-06-21,2024-08-18,2024-08-18,3216,147.55,474520.8,Delivered,0.0
PO00014,SUPP006,FACT11,PROD094,2024-08-03,2024-08-21,2024-08-21,2259,156.66,353894.94,Delivered,0.0
PO00015,SUPP027,FACT12,PROD113,2022-09-15,2022-09-30,,605,257.43,155745.15,Pending,
PO00016,SUPP020,FACT05,PROD107,2023-05-24,2023-07-01,2023-08-24,349,104.97,36634.53,Delayed,54.0
PO00017,SUPP025,FACT07,PROD120,2022-04-02,2022-04-20,2022-04-20,3916,508.65,1991873.4,Delivered,0.0
PO00018,SUPP066,FACT08,PROD058,2022-05-29,2022-06-26,2022-06-26,405,354.57,143600.85,Delivered,0.0
PO00019,SUPP009,FACT05,PROD008,2022-04-27,2022-06-30,2022-06-30,613,346.59,212459.67,Delivered,0.0
PO00020,SUPP053,FACT09,PROD042,2023-04-03,2023-05-22,2023-05-22,4059,313.54,1272658.86,Delivered,0.0
PO00021,SUPP061,FACT10,PROD076,2023-07-19,2023-08-22,2023-08-22,4938,617.71,3050251.98,Delivered,0.0
PO00022,SUPP038,FACT12,PROD042,2024-03-24,2024-04-06,2024-04-06,1072,292.24,313281.28,Delivered,0.0
PO00023,SUPP003,FACT04,PROD013,2022-02-14,2022-03-18,,1240,317.28,393427.2,Pending,
PO00024,SUPP070,FACT04,PROD026,2024-02-13,2024-02-25,2024-03-03,3260,265.08,864160.8,Delivered,7.0
PO00025,SUPP055,FACT08,PROD018,2022-08-22,2022-09-02,2022-09-02,1954,336.79,658087.66,Delivered,0.0
PO00026,SUPP001,FACT01,PROD042,2022-07-16,2022-09-02,2022-09-23,2086,303.51,633121.86,Delivered,21.0
PO00027,SUPP070,FACT08,PROD051,2022-01-25,2022-02-06,,1076,349.74,376320.24,Pending,
PO00028,SUPP045,FACT05,PROD116,2023-01-30,2023-02-20,2023-02-20,305,623.81,190262.05,Delivered,0.0
PO00029,SUPP047,FACT11,PROD113,2023-12-15,2024-01-16,,2468,292.34,721495.12,Pending,
PO00030,SUPP079,FACT01,PROD084,2024-11-25,2025-01-22,2025-01-31,2613,364.99,953718.87,Delivered,9.0
PO00031,SUPP026,FACT04,PROD016,2022-08-11,2022-09-14,,3001,231.08,693471.08,Pending,
PO00032,SUPP014,FACT02,PROD101,2024-05-13,2024-05-20,2024-07-09,319,280.02,89326.38,Delayed,50.0
PO00033,SUPP054,FACT04,PROD003,2023-06-14,2023-07-16,2023-08-13,977,357.22,349003.94,Delayed,28.0
PO00034,SUPP071,FACT08,PROD091,2022-09-14,2022-10-02,2022-10-02,113,375.97,42484.61,Delivered,0.0
PO00035,SUPP046,FACT05,PROD079,2023-10-16,2023-10-26,2023-10-26,4605,183.48,844925.4,Delivered,0.0
PO00036,SUPP031,FACT01,PROD098,2023-08-14,2023-08-30,2023-08-30,1092,214.8,234561.6,Delivered,0.0
PO00037,SUPP059,FACT07,PROD045,2023-03-20,2023-04-07,2023-04-22,4238,338.53,1434690.14,Delayed,15.0
PO00038,SUPP029,FACT01,PROD022,2023-02-22,2023-04-22,2023-04-22,4918,69.72,342882.96,Delivered,0.0
PO00039,SUPP017,FACT09,PROD104,2023-07-28,2023-08-20,2023-08-20,859,84.65,72714.35,Delivered,0.0
PO00040,SUPP014,FACT03,PROD023,2022-05-09,2022-05-16,2022-05-16,2091,189.31,395847.21,Delivered,0.0
PO00041,SUPP036,FACT12,PROD059,2024-10-07,2024-12-06,2025-01-06,3138,180.25,565624.5,Delivered,31.0
PO00042,SUPP058,FACT03,PROD062,2022-12-07,2023-01-20,2023-01-20,1696,162.02,274785.92,Delivered,0.0
PO00043,SUPP024,FACT06,PROD113,2024-03-20,2024-04-08,2024-04-08,4985,275.48,1373267.8,Delivered,0.0
PO00044,SUPP063,FACT10,PROD068,2024-09-18,2024-10-06,2024-10-07,537,62.41,33514.17,Delivered,1.0
PO00045,SUPP025,FACT06,PROD115,2022-04-10,2022-04-28,2022-04-28,3131,357.86,1120459.66,Delivered,0.0
PO00046,SUPP059,FACT11,PROD054,2022-02-08,2022-02-26,2022-03-08,1797,387.62,696553.14,Delayed,10.0
PO00047,SUPP032,FACT11,PROD057,2022-09-20,2022-10-11,,798,278.77,222458.46,Pending,
PO00048,SUPP018,FACT06,PROD105,2022-05-30,2022-06-20,2022-06-28,3887,161.15,626390.05,Delayed,8.0
PO00049,SUPP037,FACT01,PROD023,2023-11-21,2023-12-15,2023-12-15,577,204.96,118261.92,Delivered,0.0
PO00050,SUPP026,FACT05,PROD111,2024-03-23,2024-04-26,,1217,635.55,773464.35,Pending,
PO00051,SUPP009,FACT12,PROD060,2022-08-07,2022-10-10,2022-10-10,4699,143.09,672379.91,Delivered,0.0
PO00052,SUPP064,FACT06,PROD073,2024-06-24,2024-07-10,2024-07-18,4660,322.27,1501778.2,Delivered,8.0
PO00053,SUPP072,FACT08,PROD088,2022-09-01,2022-09-30,2022-11-17,3591,321.43,1154255.13,Delivered,48.0
PO00054,SUPP020,FACT01,PROD085,2024-06-04,2024-07-12,2024-07-12,4522,374.78,1694755.16,Delivered,0.0
PO00055,SUPP054,FACT05,PROD105,2023-08-10,2023-09-11,2023-09-11,3789,144.28,546676.92,Delivered,0.0
PO00056,SUPP030,FACT03,PROD110,2023-06-02,2023-06-09,,533,88.67,47261.11,Cancelled,
PO00057,SUPP053,FACT02,PROD055,2024-11-10,2024-12-29,2024-12-29,501,433.67,217268.67,Delivered,0.0
PO00058,SUPP063,FACT11,PROD117,2022-07-09,2022-07-27,2022-07-27,4119,242.1,997209.9,Delivered,0.0
PO00059,SUPP011,FACT08,PROD080,2024-07-03,2024-08-21,2024-08-21,4447,274.25,1219589.75,Delivered,0.0
PO00060,SUPP031,FACT07,PROD063,2023-09-07,2023-09-23,2023-09-23,3183,228.9,728588.7,Delivered,0.0
PO00061,SUPP049,FACT10,PROD056,2024-05-05,2024-05-28,2024-05-28,1823,156.01,284406.23,Delivered,0.0
PO00062,SUPP019,FACT07,PROD055,2023-04-11,2023-05-23,2023-05-23,1048,427.5,448020.0,Delivered,0.0
PO00063,SUPP012,FACT05,PROD025,2022-04-09,2022-05-16,,2115,169.84,359211.6,Pending,
PO00064,SUPP015,FACT12,PROD026,2024-04-09,2024-05-28,2024-07-06,447,297.33,132906.51,Delivered,39.0
PO00065,SUPP031,FACT09,PROD049,2024-09-23,2024-10-09,2024-10-09,1853,426.38,790082.14,Delivered,0.0
PO00066,SUPP043,FACT05,PROD063,2022-02-25,2022-04-11,,2201,235.68,518731.68,Pending,
PO00067,SUPP037,FACT02,PROD045,2024-11-11,2024-12-05,2024-12-28,1996,335.21,669079.16,Delayed,23.0
PO00068,SUPP079,FACT03,PROD073,2023-08-03,2023-09-30,2023-10-17,3767,358.26,1349565.42,Delayed,17.0
PO00069,SUPP029,FACT04,PROD079,2022-07-04,2022-09-01,2022-09-01,3465,182.62,632778.3,Delivered,0.0
PO00070,SUPP026,FACT05,PROD039,2023-06-06,2023-07-10,2023-07-10,1444,389.63,562625.72,Delivered,0.0
PO00071,SUPP002,FACT03,PROD097,2022-09-21,2022-10-30,2022-10-30,4178,293.19,1224947.82,Delivered,0.0
PO00072,SUPP015,FACT12,PROD065,2024-11-27,2025-01-15,,2471,603.26,1490655.46,Pending,
PO00073,SUPP004,FACT07,PROD069,2024-09-29,2024-11-24,2025-01-08,3969,160.09,635397.21,Delayed,45.0
PO00074,SUPP050,FACT05,PROD056,2022-05-03,2022-06-15,2022-06-15,3133,160.86,503974.38,Delivered,0.0
PO00075,SUPP038,FACT05,PROD009,2022-10-28,2022-11-10,2022-11-26,2838,186.36,528889.68,Delivered,16.0
PO00076,SUPP023,FACT06,PROD108,2024-04-12,2024-05-07,,1894,158.94,301032.36,Pending,
PO00077,SUPP059,FACT07,PROD070,2024-12-26,2025-01-13,2025-01-13,1854,119.22,221033.88,Delivered,0.0
PO00078,SUPP075,FACT10,PROD028,2023-10-07,2023-12-11,2023-12-11,939,115.66,108604.74,Delivered,0.0
PO00079,SUPP028,FACT10,PROD045,2024-05-23,2024-06-19,2024-06-19,2553,341.41,871619.73,Delivered,0.0
PO00080,SUPP066,FACT08,PROD026,2023-01-29,2023-02-26,2023-02-26,1943,263.47,511922.21,Delivered,0.0
PO00081,SUPP008,FACT09,PROD028,2023-10-23,2023-11-23,,1716,113.88,195418.08,Cancelled,
PO00082,SUPP029,FACT11,PROD040,2022-03-10,2022-05-08,2022-05-11,4394,356.78,1567691.32,Delivered,3.0
PO00083,SUPP011,FACT04,PROD015,2024-02-01,2024-03-21,2024-03-21,3115,56.63,176402.45,Delivered,0.0
PO00084,SUPP018,FACT05,PROD006,2022-11-16,2022-12-07,2022-12-07,3691,493.99,1823317.09,Delivered,0.0
PO00085,SUPP055,FACT05,PROD027,2022-06-26,2022-07-07,2022-08-20,3125,194.66,608312.5,Delivered,44.0
PO00086,SUPP050,FACT08,PROD038,2023-08-07,2023-09-19,2023-10-25,1309,41.48,54297.32,Delivered,36.0
PO00087,SUPP014,FACT09,PROD068,2023-08-05,2023-08-12,2023-08-12,2270,54.76,124305.2,Delivered,0.0
PO00088,SUPP074,FACT07,PROD075,2022-04-21,2022-05-04,2022-06-14,2468,454.24,1121064.32,Delivered,41.0
PO00089,SUPP009,FACT05,PROD085,2024-09-25,2024-11-28,2024-11-28,2888,363.37,1049412.56,Delivered,0.0
PO00090,SUPP011,FACT03,PROD064,2024-01-28,2024-03-17,,2846,476.87,1357172.02,Pending,
PO00091,SUPP063,FACT01,PROD030,2022-10-10,2022-10-28,2022-10-28,836,61.05,51037.8,Delivered,0.0
PO00092,SUPP076,FACT11,PROD082,2022-07-13,2022-08-08,2022-08-08,3417,319.46,1091594.82,Delivered,0.0
PO00093,SUPP067,FACT09,PROD099,2024-08-24,2024-09-29,,4985,359.51,1792157.35,Cancelled,
