order_id,customer_id,product_id,factory_id,order_date,ship_date,quantity,unit_price,discount_pct,revenue,region,sales_channel,priority
ORD00001,CUST474,PROD038,FACT12,2024-01-06,2024-01-15,59,63.7,8.6,3435.09,Asia Pacific,Direct,High
ORD00002,CUST218,PROD111,FACT04,2022-03-16,2022-03-20,486,1095.96,15.1,452208.44,Asia Pacific,Distributor,Low
ORD00003,CUST243,PROD078,FACT06,2024-08-09,2024-08-21,17,169.22,6.7,2684.0,Asia Pacific,Direct,Medium
ORD00004,CUST354,PROD075,FACT07,2023-12-26,2024-01-08,304,690.24,10.2,188430.0,Asia Pacific,Direct,High
ORD00005,CUST388,PROD095,FACT01,2024-10-05,2024-10-18,482,236.53,20.5,90635.93,Asia Pacific,Distributor,Low
ORD00006,CUST178,PROD011,FACT01,2023-01-02,2023-01-07,55,1091.88,0.4,59813.19,Asia Pacific,Distributor,Medium
ORD00007,CUST475,PROD051,FACT04,2024-01-26,2024-02-04,137,498.09,11.5,60390.92,North America,Online B2B,Medium
ORD00008,CUST061,PROD095,FACT03,2022-04-18,2022-04-29,77,247.33,17.4,15730.68,Europe,Direct,High
ORD00009,CUST405,PROD064,FACT10,2023-11-20,2023-11-25,270,736.26,8.4,182091.82,South Asia,Government Tender,Medium
ORD00010,CUST036,PROD064,FACT04,2022-04-03,2022-04-15,410,738.34,14.5,258825.09,Europe,Distributor,Low
ORD00011,CUST358,PROD095,FACT09,2024-08-23,2024-09-02,180,246.8,6.3,41625.29,Asia Pacific,Distributor,Medium
ORD00012,CUST046,PROD028,FACT02,2022-04-10,2022-04-20,85,157.06,20.7,10586.63,Asia Pacific,Direct,Low
ORD00013,CUST095,PROD071,FACT04,2022-06-30,2022-07-07,300,1170.48,21.7,274945.75,North America,Distributor,Medium
ORD00014,CUST327,PROD088,FACT07,2023-11-02,2023-11-04,468,446.07,15.8,175776.56,Asia Pacific,Government Tender,High
ORD00015,CUST044,PROD098,FACT02,2022-04-06,2022-04-16,139,286.45,20.4,31693.97,South Asia,Online B2B,High
ORD00016,CUST320,PROD083,FACT08,2022-08-20,2022-08-30,307,389.71,3.9,114974.97,North America,Direct,Medium
ORD00017,CUST226,PROD100,FACT10,2022-09-08,2022-09-22,170,600.2,12.5,89279.75,Middle East,Distributor,High
ORD00018,CUST146,PROD102,FACT04,2024-06-22,2024-06-30,242,97.57,19.1,19102.06,Europe,Distributor,Medium
ORD00019,CUST472,PROD053,FACT09,2022-01-19,2022-01-29,446,500.71,11.6,197411.93,Asia Pacific,Direct,High
ORD00020,CUST269,PROD067,FACT01,2022-07-26,2022-08-04,419,260.16,7.2,101158.53,Europe,Online B2B,Low
ORD00021,CUST013,PROD074,FACT07,2022-11-07,2022-11-17,64,462.69,3.4,28605.35,Asia Pacific,Distributor,Low
ORD00022,CUST025,PROD067,FACT01,2022-04-13,2022-04-23,240,258.12,16.4,51789.2,Asia Pacific,Distributor,Medium
ORD00023,CUST261,PROD004,FACT11,2022-06-08,2022-06-16,95,433.73,15.7,34735.27,Asia Pacific,Direct,Low
ORD00024,CUST128,PROD009,FACT10,2023-01-13,2023-01-20,146,284.48,15.0,35303.97,North America,Direct,Low
ORD00025,CUST039,PROD057,FACT11,2023-12-15,2023-12-18,398,365.39,3.2,140771.61,Middle East,Government Tender,Medium
ORD00026,CUST157,PROD073,FACT09,2022-04-02,2022-04-16,376,496.5,11.4,165402.02,South Asia,Direct,Medium
ORD00027,CUST364,PROD002,FACT12,2023-10-29,2023-11-06,49,435.79,1.3,21076.11,Middle East,Distributor,Medium
ORD00028,CUST185,PROD036,FACT10,2022-06-25,2022-06-27,453,1011.53,23.3,351457.11,Asia Pacific,Online B2B,Low
ORD00029,CUST174,PROD014,FACT12,2024-01-05,2024-01-12,145,352.31,2.6,49756.74,Middle East,Direct,Medium
